item,cond,item_type,preamble_text,preamble_tts,preamble_audio,option_left,option_right,correct_key,expected,notes
1,crit_01_ax_acts_s2_t2,critical_2x2,"After rehearsal, they reviewed the acts from last night.","After rehearsal, they reviewed the aek<break time=""95ms""/>s from last night.",audio/e2_crit_p01_c4.mp3,They referred to a chopping tool.,They referred to deeds or performances.,NA,s2_t2,critical 2x2 sound-by-text
2,crit_02_prince_prints_s1_t1,critical_2x2,"At the parade, they pointed to the prince on the balcony.","At the parade, they pointed to the prin<break time=""25ms""/>s on the balcony.",audio/e2_crit_p02_c1.mp3,They referred to a royal person.,They referred to photos or printed marks.,NA,s1_t1,critical 2x2 sound-by-text
3,crit_03_tense_tents_s1_t2,critical_2x2,"At the campsite, they checked the tense before sunset.","At the campsite, they checked the ten<break time=""25ms""/>s before sunset.",audio/e2_crit_p03_c2.mp3,They referred to a grammar or mood form.,They referred to canvas shelters.,NA,s1_t2,critical 2x2 sound-by-text
4,crit_04_presence_presents_s2_t1,critical_2x2,"At the memorial, everyone noticed her presents in the front row.","At the memorial, everyone noticed her prezen<break time=""90ms""/>s in the front row.",audio/e2_crit_p04_c3.mp3,They referred to being there.,They referred to gifts.,NA,s2_t1,critical 2x2 sound-by-text
5,crit_05_patience_patients_s2_t2,critical_2x2,"At the clinic, the nurse called the patients one by one.","At the clinic, the nurse called the pay-shen<break time=""90ms""/>s one by one.",audio/e2_crit_p05_c4.mp3,They referred to the ability to wait.,They referred to people under medical care.,NA,s2_t2,critical 2x2 sound-by-text
6,crit_06_sense_cents_s1_t1,critical_2x2,"In the debate, the plan made sense to everyone.","In the debate, the plan made sen<break time=""25ms""/>s to everyone.",audio/e2_crit_p06_c1.mp3,They referred to logical meaning.,They referred to money units.,NA,s1_t1,critical 2x2 sound-by-text
7,crit_07_dense_dents_s1_t2,critical_2x2,"At the garage, they examined the dense on the door.","At the garage, they examined the den<break time=""25ms""/>s on the door.",audio/e2_crit_p07_c2.mp3,They referred to tightly packed material.,They referred to surface depressions.,NA,s1_t2,critical 2x2 sound-by-text
8,crit_08_mince_mints_s2_t1,critical_2x2,"In the kitchen, the chef seasoned the mints for dinner.","In the kitchen, the chef seasoned the min<break time=""90ms""/>s for dinner.",audio/e2_crit_p08_c3.mp3,They referred to chopped meat.,They referred to candies.,NA,s2_t1,critical 2x2 sound-by-text
9,crit_09_greatape_graytape_s2_t2,critical_2x2,"In the workshop, the guide photographed the gray tape on the box.","In the workshop, the guide photographed the gray<break time=""35ms""/>tape on the box.",audio/e2_crit_p09_c4.mp3,They referred to a large primate.,They referred to gray adhesive tape.,NA,s2_t2,critical 2x2 sound-by-text
10,crit_10_nitrate_nightrate_s1_t1,critical_2x2,"In chemistry, they compared the nitrate in two solutions.","In chemistry, they compared the nigh<break time=""35ms""/>trate in two solutions.",audio/e2_crit_p10_c1.mp3,They referred to a chemical compound.,They referred to an evening price.,NA,s1_t1,critical 2x2 sound-by-text
