source,cond,item_type,text,target_file,notes
practice_1,practice_sunscreen,practice,Nora packed sunscreen for the beach,audio/e2_prac_01_sunscreen.mp3,clear practice
practice_2,practice_keys,practice,Ali left his keys on the table,audio/e2_prac_02_keys.mp3,clear practice
practice_3,practice_train,practice,Mina's train arrived ten minutes early,audio/e2_prac_03_train.mp3,clear practice
practice_4,practice_headphones,practice,Leo left his headphones at work,audio/e2_prac_04_headphones.mp3,clear practice
practice_5,practice_recipe,practice,The recipe says bake for twenty minutes,audio/e2_prac_05_recipe.mp3,clear practice
practice_6,practice_glass,practice,The cat knocked over the water glass,audio/e2_prac_06_glass.mp3,clear practice
A_1,crit_01_ax_acts_s1_t1,critical_2x2,"In the shed, they inspected the aek<break time=""25ms""/>s near the woodpile.",audio/e2_crit_p01_c1.mp3,critical 2x2 sound-by-text
A_2,crit_02_prince_prints_s1_t2,critical_2x2,"In the studio, they pointed to the prin<break time=""25ms""/>s on the wall.",audio/e2_crit_p02_c2.mp3,critical 2x2 sound-by-text
A_3,crit_03_tense_tents_s2_t1,critical_2x2,"During grammar class, they discussed the ten<break time=""90ms""/>s before lunch.",audio/e2_crit_p03_c3.mp3,critical 2x2 sound-by-text
A_4,crit_04_presence_presents_s2_t2,critical_2x2,"At the birthday party, everyone opened the prezen<break time=""90ms""/>s after dinner.",audio/e2_crit_p04_c4.mp3,critical 2x2 sound-by-text
A_5,crit_05_patience_patients_s1_t1,critical_2x2,"During training, the coach praised their pay-shen<break time=""25ms""/>s under pressure.",audio/e2_crit_p05_c1.mp3,critical 2x2 sound-by-text
A_6,crit_06_sense_cents_s1_t2,critical_2x2,"At the checkout, the child counted the sen<break time=""25ms""/>s on the counter.",audio/e2_crit_p06_c2.mp3,critical 2x2 sound-by-text
A_7,crit_07_dense_dents_s2_t1,critical_2x2,"In the lab, they measured the den<break time=""90ms""/>s foam sample.",audio/e2_crit_p07_c3.mp3,critical 2x2 sound-by-text
A_8,crit_08_mince_mints_s2_t2,critical_2x2,"After lunch, she shared the min<break time=""90ms""/>s from her bag.",audio/e2_crit_p08_c4.mp3,critical 2x2 sound-by-text
A_9,crit_09_greatape_graytape_s1_t1,critical_2x2,"At the zoo, the guide photographed the great<break time=""35ms""/>ape near the glass.",audio/e2_crit_p09_c1.mp3,critical 2x2 sound-by-text
A_10,crit_10_nitrate_nightrate_s1_t2,critical_2x2,"At the hotel, they compared the nigh<break time=""35ms""/>trate for late check-ins.",audio/e2_crit_p10_c2.mp3,critical 2x2 sound-by-text
A_11,crit_11_aname_anaim_s2_t1,critical_2x2,"On the form, the team had to choose an<break time=""25ms""/>aim for the product.",audio/e2_crit_p11_c3.mp3,critical 2x2 sound-by-text
A_12,crit_12_anocean_anotion_s2_t2,critical_2x2,"After the lecture, they discussed a<break time=""25ms""/>notion for hours.",audio/e2_crit_p12_c4.mp3,critical 2x2 sound-by-text
A_13,crit_13_aniceman_aniceman_s1_t1,critical_2x2,"At dinner, everyone thanked a<break time=""25ms""/>nice man for helping.",audio/e2_crit_p13_c1.mp3,critical 2x2 sound-by-text
A_14,crit_14_plumpie_plumpeye_s1_t2,critical_2x2,"At the clinic, she treated plum<break time=""25ms""/>pie with a cold pack.",audio/e2_crit_p14_c2.mp3,critical 2x2 sound-by-text
A_15,crit_15_peacetalks_peastalks_s2_t1,critical_2x2,"On the news, they followed pea<break time=""25ms""/>stalks all week.",audio/e2_crit_p15_c3.mp3,critical 2x2 sound-by-text
A_16,crit_16_gradea_grayday_s2_t2,critical_2x2,"From the window, the kids watched gray<break time=""25ms""/>day turn darker.",audio/e2_crit_p16_c4.mp3,critical 2x2 sound-by-text
A_17,crit_17_graytrain_greatrain_s1_t1,critical_2x2,"From the bridge, they watched gray<break time=""25ms""/>train pass slowly.",audio/e2_crit_p17_c1.mp3,critical 2x2 sound-by-text
A_18,crit_18_illearn_ilearn_s1_t2,critical_2x2,"At school, she said I'll<break time=""25ms""/>earn more next year.",audio/e2_crit_p18_c2.mp3,critical 2x2 sound-by-text
A_19,crit_19_keepsticking_keepsticking_s2_t1,critical_2x2,"In winter, this drawer will keeps<break time=""25ms""/>ticking without oil.",audio/e2_crit_p19_c3.mp3,critical 2x2 sound-by-text
A_20,crit_20_icecream_iscream_s2_t2,critical_2x2,"In haunted houses, she says I<break time=""25ms""/>scream too loudly.",audio/e2_crit_p20_c4.mp3,critical 2x2 sound-by-text
A_21,fill_01_match,filler_match,"For breakfast, she spread butter on warm toast.",audio/e2_fill_01_match.mp3,clear matching filler
A_22,fill_01_mismatch,filler_mismatch,"For breakfast, she spread butter on warm clouds.",audio/e2_fill_01_mismatch.mp3,clear mismatching filler
A_23,fill_02_match,filler_match,"At the beach, they built a sand castle.",audio/e2_fill_02_match.mp3,clear matching filler
A_24,fill_02_mismatch,filler_mismatch,"At the beach, they built a sand laptop.",audio/e2_fill_02_mismatch.mp3,clear mismatching filler
A_25,fill_03_match,filler_match,"In winter, he wore a thick coat.",audio/e2_fill_03_match.mp3,clear matching filler
A_26,fill_03_mismatch,filler_mismatch,"In winter, he wore a thick spoon.",audio/e2_fill_03_mismatch.mp3,clear mismatching filler
A_27,fill_04_match,filler_match,"After dinner, we washed the dirty plates.",audio/e2_fill_04_match.mp3,clear matching filler
A_28,fill_04_mismatch,filler_mismatch,"After dinner, we washed the dirty thunder.",audio/e2_fill_04_mismatch.mp3,clear mismatching filler
A_29,fill_05_match,filler_match,"In class, the teacher wrote on the board.",audio/e2_fill_05_match.mp3,clear matching filler
A_30,fill_05_mismatch,filler_mismatch,"In class, the teacher wrote on the bicycle.",audio/e2_fill_05_mismatch.mp3,clear mismatching filler
A_31,fill_06_match,filler_match,"At night, the baby slept in the crib.",audio/e2_fill_06_match.mp3,clear matching filler
A_32,fill_06_mismatch,filler_mismatch,"At night, the baby slept in the printer.",audio/e2_fill_06_mismatch.mp3,clear mismatching filler
A_33,fill_07_match,filler_match,"During lunch, she drank cold water.",audio/e2_fill_07_match.mp3,clear matching filler
A_34,fill_07_mismatch,filler_mismatch,"During lunch, she drank cold paper.",audio/e2_fill_07_mismatch.mp3,clear mismatching filler
A_35,fill_08_match,filler_match,"On the road, they fixed the flat tire.",audio/e2_fill_08_match.mp3,clear matching filler
A_36,fill_08_mismatch,filler_mismatch,"On the road, they fixed the flat rainbow.",audio/e2_fill_08_mismatch.mp3,clear mismatching filler
A_37,fill_09_match,filler_match,"In the garden, we planted tomato seeds.",audio/e2_fill_09_match.mp3,clear matching filler
A_38,fill_09_mismatch,filler_mismatch,"In the garden, we planted tomato keyboards.",audio/e2_fill_09_mismatch.mp3,clear mismatching filler
A_39,fill_10_match,filler_match,"At the station, he missed the last train.",audio/e2_fill_10_match.mp3,clear matching filler
A_40,fill_10_mismatch,filler_mismatch,"At the station, he missed the last volcano.",audio/e2_fill_10_mismatch.mp3,clear mismatching filler
A_41,fill_11_match,filler_match,"In the office, she opened her laptop.",audio/e2_fill_11_match.mp3,clear matching filler
A_42,fill_11_mismatch,filler_mismatch,"In the office, she opened her waterfall.",audio/e2_fill_11_mismatch.mp3,clear mismatching filler
A_43,fill_12_match,filler_match,"After rain, the street looked very wet.",audio/e2_fill_12_match.mp3,clear matching filler
A_44,fill_12_mismatch,filler_mismatch,"After rain, the street looked very violin.",audio/e2_fill_12_mismatch.mp3,clear mismatching filler
A_45,fill_13_match,filler_match,"For dessert, they served chocolate cake.",audio/e2_fill_13_match.mp3,clear matching filler
A_46,fill_13_mismatch,filler_mismatch,"For dessert, they served chocolate screwdriver.",audio/e2_fill_13_mismatch.mp3,clear mismatching filler
A_47,fill_14_match,filler_match,"In the movie, the hero saved the child.",audio/e2_fill_14_match.mp3,clear matching filler
A_48,fill_14_mismatch,filler_mismatch,"In the movie, the hero saved the microwave.",audio/e2_fill_14_mismatch.mp3,clear mismatching filler
A_49,fill_15_match,filler_match,"Before work, he locked the front door.",audio/e2_fill_15_match.mp3,clear matching filler
