item,cond,item_type,preamble_text,preamble_tts,preamble_audio,option_left,option_right,correct_key,expected,notes
1,crit_01_ax_acts_s1_t1,critical_2x2,"In the shed, they inspected the ax near the woodpile.","In the shed, they inspected the aek<break time=""25ms""/>s near the woodpile.",audio/e2_crit_p01_c1.mp3,They referred to a chopping tool.,They referred to deeds or performances.,NA,s1_t1,critical 2x2 sound-by-text
2,crit_02_prince_prints_s1_t2,critical_2x2,"In the studio, they pointed to the prince on the wall.","In the studio, they pointed to the prin<break time=""25ms""/>s on the wall.",audio/e2_crit_p02_c2.mp3,They referred to a royal person.,They referred to photos or printed marks.,NA,s1_t2,critical 2x2 sound-by-text
3,crit_03_tense_tents_s2_t1,critical_2x2,"During grammar class, they discussed the tents before lunch.","During grammar class, they discussed the ten<break time=""90ms""/>s before lunch.",audio/e2_crit_p03_c3.mp3,They referred to a grammar or mood form.,They referred to canvas shelters.,NA,s2_t1,critical 2x2 sound-by-text
4,crit_04_presence_presents_s2_t2,critical_2x2,"At the birthday party, everyone opened the presents after dinner.","At the birthday party, everyone opened the prezen<break time=""90ms""/>s after dinner.",audio/e2_crit_p04_c4.mp3,They referred to being there.,They referred to gifts.,NA,s2_t2,critical 2x2 sound-by-text
5,crit_05_patience_patients_s1_t1,critical_2x2,"During training, the coach praised their patience under pressure.","During training, the coach praised their pay-shen<break time=""25ms""/>s under pressure.",audio/e2_crit_p05_c1.mp3,They referred to the ability to wait.,They referred to people under medical care.,NA,s1_t1,critical 2x2 sound-by-text
6,crit_06_sense_cents_s1_t2,critical_2x2,"At the checkout, the child counted the sense on the counter.","At the checkout, the child counted the sen<break time=""25ms""/>s on the counter.",audio/e2_crit_p06_c2.mp3,They referred to logical meaning.,They referred to money units.,NA,s1_t2,critical 2x2 sound-by-text
7,crit_07_dense_dents_s2_t1,critical_2x2,"In the lab, they measured the dents foam sample.","In the lab, they measured the den<break time=""90ms""/>s foam sample.",audio/e2_crit_p07_c3.mp3,They referred to tightly packed material.,They referred to surface depressions.,NA,s2_t1,critical 2x2 sound-by-text
8,crit_08_mince_mints_s2_t2,critical_2x2,"After lunch, she shared the mints from her bag.","After lunch, she shared the min<break time=""90ms""/>s from her bag.",audio/e2_crit_p08_c4.mp3,They referred to chopped meat.,They referred to candies.,NA,s2_t2,critical 2x2 sound-by-text
9,crit_09_greatape_graytape_s1_t1,critical_2x2,"At the zoo, the guide photographed the great ape near the glass.","At the zoo, the guide photographed the great<break time=""35ms""/>ape near the glass.",audio/e2_crit_p09_c1.mp3,They referred to a large primate.,They referred to gray adhesive tape.,NA,s1_t1,critical 2x2 sound-by-text
10,crit_10_nitrate_nightrate_s1_t2,critical_2x2,"At the hotel, they compared the nitrate for late check-ins.","At the hotel, they compared the nigh<break time=""35ms""/>trate for late check-ins.",audio/e2_crit_p10_c2.mp3,They referred to a chemical compound.,They referred to an evening price.,NA,s1_t2,critical 2x2 sound-by-text
11,crit_11_aname_anaim_s2_t1,critical_2x2,"On the form, the team had to choose an aim for the product.","On the form, the team had to choose an<break time=""25ms""/>aim for the product.",audio/e2_crit_p11_c3.mp3,They referred to a title or label.,They referred to a goal.,NA,s2_t1,critical 2x2 sound-by-text
12,crit_12_anocean_anotion_s2_t2,critical_2x2,"After the lecture, they discussed a notion for hours.","After the lecture, they discussed a<break time=""25ms""/>notion for hours.",audio/e2_crit_p12_c4.mp3,They referred to a large sea.,They referred to an idea.,NA,s2_t2,critical 2x2 sound-by-text
13,crit_13_aniceman_aniceman_s1_t1,critical_2x2,"At dinner, everyone thanked a nice man for helping.","At dinner, everyone thanked a<break time=""25ms""/>nice man for helping.",audio/e2_crit_p13_c1.mp3,They referred to a pleasant man.,They referred to an ice seller.,NA,s1_t1,critical 2x2 sound-by-text
14,crit_14_plumpie_plumpeye_s1_t2,critical_2x2,"At the clinic, she treated plum pie with a cold pack.","At the clinic, she treated plum<break time=""25ms""/>pie with a cold pack.",audio/e2_crit_p14_c2.mp3,They referred to a fruit pie.,They referred to a swollen eye.,NA,s1_t2,critical 2x2 sound-by-text
15,crit_15_peacetalks_peastalks_s2_t1,critical_2x2,"On the news, they followed pea stalks all week.","On the news, they followed pea<break time=""25ms""/>stalks all week.",audio/e2_crit_p15_c3.mp3,They referred to diplomatic discussions.,They referred to plant stems.,NA,s2_t1,critical 2x2 sound-by-text
16,crit_16_gradea_grayday_s2_t2,critical_2x2,"From the window, the kids watched gray day turn darker.","From the window, the kids watched gray<break time=""25ms""/>day turn darker.",audio/e2_crit_p16_c4.mp3,They referred to top quality.,They referred to overcast weather.,NA,s2_t2,critical 2x2 sound-by-text
17,crit_17_graytrain_greatrain_s1_t1,critical_2x2,"From the bridge, they watched gray train pass slowly.","From the bridge, they watched gray<break time=""25ms""/>train pass slowly.",audio/e2_crit_p17_c1.mp3,They referred to a gray locomotive.,They referred to heavy rain.,NA,s1_t1,critical 2x2 sound-by-text
18,crit_18_illearn_ilearn_s1_t2,critical_2x2,"At school, she said I'll earn more next year.","At school, she said I'll<break time=""25ms""/>earn more next year.",audio/e2_crit_p18_c2.mp3,They referred to earning money.,They referred to gaining knowledge.,NA,s1_t2,critical 2x2 sound-by-text
19,crit_19_keepsticking_keepsticking_s2_t1,critical_2x2,"In winter, this drawer will keeps ticking without oil.","In winter, this drawer will keeps<break time=""25ms""/>ticking without oil.",audio/e2_crit_p19_c3.mp3,They referred to continuing to stick.,They referred to continuing to tick.,NA,s2_t1,critical 2x2 sound-by-text
20,crit_20_icecream_iscream_s2_t2,critical_2x2,"In haunted houses, she says I scream too loudly.","In haunted houses, she says I<break time=""25ms""/>scream too loudly.",audio/e2_crit_p20_c4.mp3,They referred to frozen dessert.,They referred to shouting loudly.,NA,s2_t2,critical 2x2 sound-by-text
21,fill_01_match,filler_match,"For breakfast, she spread butter on warm toast.","For breakfast, she spread butter on warm toast.",audio/e2_fill_01_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
22,fill_01_mismatch,filler_mismatch,"For breakfast, she spread butter on warm clouds.","For breakfast, she spread butter on warm clouds.",audio/e2_fill_01_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
23,fill_02_match,filler_match,"At the beach, they built a sand castle.","At the beach, they built a sand castle.",audio/e2_fill_02_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
24,fill_02_mismatch,filler_mismatch,"At the beach, they built a sand laptop.","At the beach, they built a sand laptop.",audio/e2_fill_02_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
25,fill_03_match,filler_match,"In winter, he wore a thick coat.","In winter, he wore a thick coat.",audio/e2_fill_03_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
26,fill_03_mismatch,filler_mismatch,"In winter, he wore a thick spoon.","In winter, he wore a thick spoon.",audio/e2_fill_03_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
27,fill_04_match,filler_match,"After dinner, we washed the dirty plates.","After dinner, we washed the dirty plates.",audio/e2_fill_04_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
28,fill_04_mismatch,filler_mismatch,"After dinner, we washed the dirty thunder.","After dinner, we washed the dirty thunder.",audio/e2_fill_04_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
29,fill_05_match,filler_match,"In class, the teacher wrote on the board.","In class, the teacher wrote on the board.",audio/e2_fill_05_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
30,fill_05_mismatch,filler_mismatch,"In class, the teacher wrote on the bicycle.","In class, the teacher wrote on the bicycle.",audio/e2_fill_05_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
31,fill_06_match,filler_match,"At night, the baby slept in the crib.","At night, the baby slept in the crib.",audio/e2_fill_06_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
32,fill_06_mismatch,filler_mismatch,"At night, the baby slept in the printer.","At night, the baby slept in the printer.",audio/e2_fill_06_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
33,fill_07_match,filler_match,"During lunch, she drank cold water.","During lunch, she drank cold water.",audio/e2_fill_07_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
34,fill_07_mismatch,filler_mismatch,"During lunch, she drank cold paper.","During lunch, she drank cold paper.",audio/e2_fill_07_mismatch.mp3,The sentence sounded natural.,The sentence sounded odd.,J,mismatch,clear mismatching filler
35,fill_08_match,filler_match,"On the road, they fixed the flat tire.","On the road, they fixed the flat tire.",audio/e2_fill_08_match.mp3,The sentence sounded natural.,The sentence sounded odd.,F,match,clear matching filler
